id,scan,corner_err,corner_pct,corner_worst,pck,quad_iou,baseline_corner_err,split
test_0008,11,8.2123,2.2684,10.8155,0,0.9283,2.1712,test
test_0009,35,7.5483,2.0849,10.4281,0,0.9192,31.6972,test
test_0010,39,17.1915,4.7485,23.2953,0,0.7957,103.8141,test
test_0011,11,5.5187,1.5243,8.5485,0,0.9088,2.4007,test
test_0012,33,1.6538,0.4568,3.5513,1,0.9773,2.28,test
test_0013,35,4.983,1.3764,8.7139,0,0.9085,2.6815,test
test_0014,49,2.5435,0.7026,5.0237,1,0.9687,2.4007,test
test_0015,33,4.7868,1.3222,10.4924,0,0.939,107.964,test
test_0016,49,7.985,2.2056,18.8853,0,0.8721,15.6178,test
test_0017,11,3.6865,1.0183,4.4769,1,0.9483,2.5308,test
test_0018,33,3.2388,0.8946,6.5042,1,0.9624,2.6199,test
test_0019,33,6.9369,1.9161,9.8102,0,0.9141,2.2965,test
test_0020,49,14.2605,3.939,31.6066,0,0.7888,100.0148,test
test_0021,33,3.6583,1.0105,6.2676,1,0.9419,80.5914,test
test_0022,11,4.4512,1.2295,7.5421,0,0.9225,2.6234,test
test_0023,49,5.1585,1.4249,8.0295,0,0.9407,2.4107,test
test_0024,33,11.5757,3.1974,16.931,0,0.825,112.8608,test
test_0025,33,3.562,0.9839,4.5206,1,0.9485,57.7427,test
test_0026,35,6.5081,1.7976,8.4448,0,0.8725,4.525,test
test_0027,39,4.4294,1.2235,5.2333,1,0.9424,2.2515,test
test_0028,49,4.7471,1.3112,6.4693,1,0.9191,6.24,test
test_0029,39,1.7502,0.4834,2.0403,1,0.9821,2.3136,test
test_0030,39,6.8593,1.8946,10.5936,0,0.8787,6.5638,test
test_0031,33,6.8447,1.8906,10.7352,0,0.9385,2.4296,test
test_0032,35,7.4552,2.0592,12.2009,0,0.8668,113.1951,test
test_0033,11,2.2685,0.6266,3.9548,1,0.9722,2.3789,test
test_0034,35,4.9748,1.3741,6.2434,1,0.8812,2.2782,test
test_0035,33,5.7973,1.6013,9.6351,0,0.9139,99.9641,test
test_0036,49,2.1422,0.5917,3.4619,1,0.9681,2.0052,test
test_0037,11,7.1044,1.9623,8.2317,0,0.9095,2.7893,test
test_0038,11,9.38,2.5909,12.0054,0,0.8937,157.3996,test
test_0039,49,7.2518,2.003,12.6818,0,0.9164,5.6026,test
test_0040,49,6.2281,1.7203,8.3888,0,0.8668,119.8319,test
test_0041,35,5.8222,1.6082,11.6804,0,0.9126,2.6888,test
test_0042,33,5.3432,1.4759,6.5062,1,0.9388,71.0693,test
test_0043,35,15.6802,4.3311,20.8557,0,0.8438,133.3636,test
test_0044,35,5.2853,1.4599,6.9994,1,0.9448,3.0285,test
test_0045,39,5.0716,1.4008,8.4911,0,0.9395,2.5398,test
test_0046,35,10.5281,2.908,17.8389,0,0.7833,99.6309,test
test_0047,35,3.05,0.8425,8.9854,0,0.9712,2.4066,test
test_0048,39,11.3274,3.1288,32.2177,0,0.8704,59.445,test
test_0049,49,4.4983,1.2425,7.8447,0,0.9255,79.9507,test
test_0050,49,5.2436,1.4483,6.6233,1,0.8859,114.2783,test
test_0051,35,8.1773,2.2587,10.8576,0,0.9268,2.4562,test
test_0052,35,9.3374,2.5791,15.785,0,0.8255,4.3732,test
test_0053,11,3.5763,0.9878,5.0379,1,0.9656,2.3796,test
test_0054,33,3.6041,0.9955,6.6856,1,0.9404,93.6269,test
test_0055,39,7.6615,2.1162,11.8796,0,0.8453,6.002,test
test_0056,35,5.1691,1.4278,6.825,1,0.8954,2.8403,test
test_0057,11,6.0418,1.6688,8.4241,0,0.9311,68.1018,test
test_0058,33,9.4436,2.6084,19.7123,0,0.8114,105.2134,test
test_0059,39,4.7596,1.3147,7.5011,0,0.941,48.2524,test
test_0060,11,10.7731,2.9757,14.5788,0,0.8468,118.4237,test
test_0061,49,2.403,0.6637,4.5064,1,0.962,2.1575,test
test_0062,49,4.7887,1.3227,7.5181,0,0.9401,92.5472,test
test_0063,11,10.0651,2.7801,16.6269,0,0.8514,117.8207,test
test_0064,11,8.3976,2.3195,9.3902,0,0.8555,115.3733,test
test_0065,11,5.4579,1.5076,7.415,0,0.9146,101.6835,test
test_0066,11,6.3793,1.7621,8.1553,0,0.8831,2.3868,test
test_0067,39,3.5021,0.9673,6.9554,1,0.9424,2.3633,test
test_0068,11,3.4954,0.9655,8.9004,0,0.9437,95.7822,test
test_0069,35,9.666,2.6699,13.027,0,0.9003,147.6124,test
test_0070,33,6.6467,1.8359,9.8724,0,0.9171,2.6327,test
test_0071,49,7.5432,2.0835,12.0581,0,0.9377,45.7162,test
test_0072,33,6.6057,1.8246,10.086,0,0.9294,2.8685,test
test_0073,35,5.2275,1.4439,10.2069,0,0.9342,2.3707,test
test_0074,11,3.9893,1.1019,5.7048,1,0.9282,2.2906,test
test_0075,49,5.3259,1.4711,5.7971,1,0.9196,2.4773,test
test_0076,33,35.8762,9.9095,49.7559,0,0.6435,28.0059,test
test_0077,39,6.8772,1.8996,8.8923,0,0.9338,2.6365,test
test_0078,39,2.7342,0.7552,4.961,1,0.9454,2.3208,test
test_0079,49,4.6061,1.2723,6.6114,1,0.9461,105.8902,test
test_0080,49,13.7192,3.7894,16.6019,0,0.8442,120.7855,test
test_0081,49,4.9877,1.3777,10.4278,0,0.9082,107.2023,test
